qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
44620;trec8;IDX_DR_SANSLEN;0;1000;3;1000;470830;470786;140552;0;0;0;471537
44665;trec8;IDX_DR_SANSLEN;0;1000;0;0;69;13;1;0;0;0;493
44680;trec8;IDX_DR_SANSLEN;0;1000;1;1000;37956;37914;11386;0;0;0;38343
44684;trec8;IDX_DR_SANSLEN;0;1000;3;1000;318581;318557;94227;0;0;0;319002
44688;trec8;IDX_DR_SANSLEN;0;1000;3;1000;579983;579940;174535;0;0;0;580512
44741;trec8;IDX_DR_SANSLEN;0;1000;2;1000;105330;105301;31168;0;0;0;105914
44893;trec8;IDX_DR_SANSLEN;0;1000;1;508;18016;17998;5331;0;0;0;18543
44950;trec8;IDX_DR_SANSLEN;0;1000;0;0;25;4;1;0;0;0;433
44964;trec8;IDX_DR_SANSLEN;0;1000;2;1000;57613;57598;17456;0;0;0;58157
44974;trec8;IDX_DR_SANSLEN;0;1000;4;1000;1043294;1043258;283372;0;0;0;1043782
45063;trec8;IDX_DR_SANSLEN;0;1000;1;1000;417037;417014;132928;0;0;0;417565
45113;trec8;IDX_DR_SANSLEN;0;1000;6;1000;675121;675049;145045;0;0;0;676671
45150;trec8;IDX_DR_SANSLEN;0;1000;1;756;26598;26573;7353;0;0;0;27102
45165;trec8;IDX_DR_SANSLEN;0;1000;2;1000;83250;83192;24768;0;0;0;83826
45250;trec8;IDX_DR_SANSLEN;0;1000;4;1000;378917;378881;95301;0;0;0;379503
45261;trec8;IDX_DR_SANSLEN;0;1000;3;1000;124696;124648;39005;0;0;0;125352
45328;trec8;IDX_DR_SANSLEN;0;1000;2;1000;46562;46509;12811;0;0;0;47119
45393;trec8;IDX_DR_SANSLEN;0;1000;7;1000;845077;844258;174580;0;0;0;845713
45436;trec8;IDX_DR_SANSLEN;0;1000;4;1000;172824;172761;53940;0;0;0;173312
45513;trec8;IDX_DR_SANSLEN;0;1000;7;1000;714741;714707;145089;0;0;0;715693
45558;trec8;IDX_DR_SANSLEN;0;1000;3;1000;146415;146375;42870;0;0;0;147019
45610;trec8;IDX_DR_SANSLEN;0;1000;3;1000;219313;219288;65936;0;0;0;219757
45615;trec8;IDX_DR_SANSLEN;0;1000;2;1000;111232;111209;33287;0;0;0;111820
45712;trec8;IDX_DR_SANSLEN;0;1000;1;56;2868;2829;763;0;0;0;3383
45722;trec8;IDX_DR_SANSLEN;0;1000;2;1000;232064;232042;74376;0;0;0;232606
45723;trec8;IDX_DR_SANSLEN;0;1000;2;1000;92073;92048;26471;0;0;0;92661
45736;trec8;IDX_DR_SANSLEN;0;1000;2;1000;319034;318992;98663;0;0;0;319630
45755;trec8;IDX_DR_SANSLEN;0;1000;3;1000;582048;581992;181399;0;0;0;582663
45759;trec8;IDX_DR_SANSLEN;0;1000;2;1000;336352;336306;118297;0;0;0;336960
45824;trec8;IDX_DR_SANSLEN;0;1000;2;1000;80100;80051;23381;0;0;0;80719
45851;trec8;IDX_DR_SANSLEN;0;1000;0;0;39;6;1;0;0;0;338
45911;trec8;IDX_DR_SANSLEN;0;1000;1;342;11996;11956;3642;0;0;0;12460
45933;trec8;IDX_DR_SANSLEN;0;1000;1;1000;112418;112370;35188;0;0;0;113085
45946;trec8;IDX_DR_SANSLEN;0;1000;2;134;8128;8099;1677;0;0;0;8504
45979;trec8;IDX_DR_SANSLEN;0;1000;3;1000;225677;225653;65475;0;0;0;226128
46000;trec8;IDX_DR_SANSLEN;0;1000;1;1;186;146;21;0;0;0;604
46061;trec8;IDX_DR_SANSLEN;0;1000;3;1000;396261;396244;106689;0;0;0;396744
46187;trec8;IDX_DR_SANSLEN;0;1000;0;0;69;12;1;0;0;0;449
