12588;cluewebB;bm25;IDX_DR;0;10;3;10;2904281;2773972;270285;0;0;0;2907418
12644;cluewebB;bm25;IDX_DR;0;10;5;10;3108779;3001981;456644;0;0;0;3261058
12658;cluewebB;bm25;IDX_DR;0;10;3;10;388342;275875;31443;0;0;0;392995
12732;cluewebB;bm25;IDX_DR;0;10;2;10;264654;250583;58558;0;0;0;265351
12835;cluewebB;bm25;IDX_DR;0;10;3;10;4221443;4220073;503407;0;0;0;4221744
12876;cluewebB;bm25;IDX_DR;0;10;3;10;1449188;1449135;52832;0;0;0;1452700
13115;cluewebB;bm25;IDX_DR;0;10;3;10;754653;722372;78476;0;0;0;757889
13236;cluewebB;bm25;IDX_DR;0;10;3;10;1782987;1746223;178554;0;0;0;1786564
13289;cluewebB;bm25;IDX_DR;0;10;6;10;1553257;1438363;191303;0;0;0;1558720
13293;cluewebB;bm25;IDX_DR;0;10;4;10;2934933;2905830;465178;0;0;0;2938298
13345;cluewebB;bm25;IDX_DR;0;10;3;10;2854318;2854262;255934;0;0;0;2858916
13346;cluewebB;bm25;IDX_DR;0;10;4;10;3051530;3009661;438236;0;0;0;3051808
13369;cluewebB;bm25;IDX_DR;0;10;4;10;3650660;3650601;517605;0;0;0;3650939
13571;cluewebB;bm25;IDX_DR;0;10;5;10;822903;670147;75162;0;0;0;1277051
13798;cluewebB;bm25;IDX_DR;0;10;6;10;3259091;3256351;491727;0;0;0;3259372
13910;cluewebB;bm25;IDX_DR;0;10;3;10;584677;584612;27884;0;0;0;588195
14059;cluewebB;bm25;IDX_DR;0;10;5;10;2257300;2251837;345366;0;0;0;2366497
14099;cluewebB;bm25;IDX_DR;0;10;2;10;1407455;1353821;241202;0;0;0;1410612
14124;cluewebB;bm25;IDX_DR;0;10;4;10;99152;38728;6801;0;0;0;99787
14488;cluewebB;bm25;IDX_DR;0;10;6;10;1450496;1450430;196101;0;0;0;1455995
14574;cluewebB;bm25;IDX_DR;0;10;7;10;257619;219924;27470;0;0;0;258340
14593;cluewebB;bm25;IDX_DR;0;10;2;10;709620;709167;134005;0;0;0;712407
14701;cluewebB;bm25;IDX_DR;0;10;8;10;5532655;5507865;691263;0;0;0;5533902
14824;cluewebB;bm25;IDX_DR;0;10;6;10;3106784;3106722;370615;0;0;0;3114509
15094;cluewebB;bm25;IDX_DR;0;10;3;10;464647;397866;50930;0;0;0;467437
15473;cluewebB;bm25;IDX_DR;0;10;2;10;36967;12667;3154;0;0;0;37292
15515;cluewebB;bm25;IDX_DR;0;10;5;10;395271;395218;59676;0;0;0;396428
15579;cluewebB;bm25;IDX_DR;0;10;3;10;402818;399100;48225;0;0;0;405691
15586;cluewebB;bm25;IDX_DR;0;10;3;10;1412265;1388778;158166;0;0;0;1415860
15675;cluewebB;bm25;IDX_DR;0;10;3;10;1864460;1830610;192613;0;0;0;1870565
15682;cluewebB;bm25;IDX_DR;0;10;6;10;2666269;2544291;354396;0;0;0;2758535
15760;cluewebB;bm25;IDX_DR;0;10;4;10;1451239;1390471;141915;0;0;0;1454427
15936;cluewebB;bm25;IDX_DR;0;10;2;10;488878;477315;97158;0;0;0;489985
16238;cluewebB;bm25;IDX_DR;0;10;4;10;1710508;1706705;214886;0;0;0;1713715
16327;cluewebB;bm25;IDX_DR;0;10;4;10;4035611;3990796;579226;0;0;0;4038841
16386;cluewebB;bm25;IDX_DR;0;10;5;10;786016;705108;88574;0;0;0;788692
16548;cluewebB;bm25;IDX_DR;0;10;4;10;714784;702766;110998;0;0;0;717839
16649;cluewebB;bm25;IDX_DR;0;10;6;10;3911631;3873892;532926;0;0;0;3911902
16750;cluewebB;bm25;IDX_DR;0;10;4;10;2384558;2384493;345334;0;0;0;2542656
