qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
9840;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2874348;2825459;503064;50410357;0;0;2878583
9866;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;409965;370714;69834;50410357;0;0;411964
9950;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;151337;151113;33160;50410357;0;0;152200
9957;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;122023;119824;36119;50410357;0;0;122748
9977;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;67379;67338;15692;50410357;0;0;68207
9991;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;9;2;494523;493814;60176;50410357;0;0;494828
10021;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1506974;1506934;293754;50410357;0;0;1510709
10063;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;828006;815593;167759;50410357;0;0;831814
10139;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;248533;238050;48764;50410357;0;0;249824
10231;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;20226;18132;2824;50410357;0;0;20537
10395;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;211880;211846;46885;50410357;0;0;212875
10397;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;1315826;1314054;203058;50410357;0;0;1317773
10470;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;3413227;3413186;658117;50410357;0;0;3416336
11060;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;669701;666496;171814;50410357;0;0;671596
11077;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;620645;619308;143915;50410357;0;0;622318
11155;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;1;10404;2642;439;50410357;0;0;10548
11188;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1885791;1885768;340031;50410357;0;0;1888676
11242;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;350962;341992;64035;50410357;0;0;351656
11245;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;4014023;4013824;678265;50410357;0;0;4017144
11382;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;973999;967140;135034;50410357;0;0;977785
11432;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;18211;18169;4209;50410357;0;0;18369
11439;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;395159;395134;74903;50410357;0;0;396968
11476;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;178154;177918;38601;50410357;0;0;178978
11545;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1577805;1576586;318209;50410357;0;0;1580464
11809;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;117436;113724;26932;50410357;0;0;119385
11848;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1574418;1573674;325391;50410357;0;0;1576045
12000;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;6302549;6291625;964217;50410357;0;0;6306525
12146;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;312001;300965;53724;50410357;0;0;316714
12190;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;50514;50466;9637;50410357;0;0;50884
12254;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;11;10;853450;853391;100643;50410357;0;0;854791
12588;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;826010;825969;174826;50410357;0;0;828319
12644;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;611507;582347;102628;50410357;0;0;613622
12658;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;591511;590834;102578;50410357;0;0;592928
12732;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;9;94361;90449;12169;50410357;0;0;94790
12835;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;5357768;5357727;908660;50410357;0;0;5361516
12876;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;770893;755131;75106;50410357;0;0;774345
13115;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;754498;720043;145972;50410357;0;0;756811
13236;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;8318164;8302325;1491124;50410357;0;0;8322015
13289;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;814403;756867;81709;50410357;0;0;816671
13293;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;390990;387224;79090;50410357;0;0;391897
13345;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2507236;2505684;462888;50410357;0;0;2510881
13346;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;7739158;7710132;1396614;50410357;0;0;7742830
13369;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;333949;266210;37089;50410357;0;0;334769
13571;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;3113030;3112984;522329;50410357;0;0;3115481
13798;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;226934;226647;35200;50410357;0;0;227839
13910;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;6;9461;8440;2055;50410357;0;0;9679
14059;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;4156373;4156348;673254;50410357;0;0;4159974
14099;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;2138050;2130429;499010;50410357;0;0;2141494
14124;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;40010;21461;3367;50410357;0;0;40353
14488;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;353258;353208;56559;50410357;0;0;354251
14574;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;1186623;1184795;167687;50410357;0;0;1188046
14593;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;8257050;8257015;1999973;50410357;0;0;8258673
14701;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;1468454;1468395;124960;50410357;0;0;1470179
14824;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;4740004;4739956;698956;50410357;0;0;4743895
15094;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1304730;1295744;253555;50410357;0;0;1308280
15473;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;113728;105918;25350;50410357;0;0;114174
15515;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;301297;301250;58011;50410357;0;0;303372
15579;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;328557;328351;70024;50410357;0;0;329542
15586;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;301933;298087;67988;50410357;0;0;302961
15675;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1486543;1482941;295285;50410357;0;0;1490162
