qryid;collection;ranker;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
10127;gov2;bm25;INVIDX_E_BM25;0;100;3;100;112674;112647;0;0;416031;447837;112893
10135;gov2;bm25;INVIDX_E_BM25;0;100;2;100;331688;331664;0;0;1519968;1644873;331907
10140;gov2;bm25;INVIDX_E_BM25;0;100;3;100;215587;215559;0;0;911312;913669;215818
10144;gov2;bm25;INVIDX_E_BM25;0;100;3;100;374935;374906;0;0;1550871;1601025;375132
10170;gov2;bm25;INVIDX_E_BM25;0;100;1;100;37454;37433;0;0;191567;191567;37602
10212;gov2;bm25;INVIDX_E_BM25;0;100;3;100;287532;287512;0;0;1215083;1220898;287744
10336;gov2;bm25;INVIDX_E_BM25;0;100;1;100;5352;5331;0;0;23017;23017;5441
10340;gov2;bm25;INVIDX_E_BM25;0;100;6;100;509378;509353;0;0;1566119;1667261;509581
10377;gov2;bm25;INVIDX_E_BM25;0;100;2;100;154774;154750;0;0;741351;742375;154990
10446;gov2;bm25;INVIDX_E_BM25;0;100;2;100;114076;114052;0;0;505613;514270;114296
10447;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1238170;1238143;0;0;5109722;6034697;1238382
10448;gov2;bm25;INVIDX_E_BM25;0;100;4;100;512838;512807;0;0;1947507;2015303;513061
10475;gov2;bm25;INVIDX_E_BM25;0;100;4;100;516356;516326;0;0;1905482;2024574;516570
10560;gov2;bm25;INVIDX_E_BM25;0;100;2;100;214822;214797;0;0;964986;1004711;215024
10567;gov2;bm25;INVIDX_E_BM25;0;100;3;100;4156976;4156947;0;0;18409507;20370756;4157203
10587;gov2;bm25;INVIDX_E_BM25;0;100;7;100;8489148;8489109;0;0;21173213;40604630;8489376
10603;gov2;bm25;INVIDX_E_BM25;0;100;1;100;2456;2435;0;0;13133;13133;2555
10635;gov2;bm25;INVIDX_E_BM25;0;100;6;100;7740895;7740870;0;0;22054233;39517897;7741097
10659;gov2;bm25;INVIDX_E_BM25;0;100;4;100;3234260;3234229;0;0;12121526;15667214;3234483
10678;gov2;bm25;INVIDX_E_BM25;0;100;2;100;25389;25363;0;0;100720;101026;25495
10704;gov2;bm25;INVIDX_E_BM25;0;100;5;100;4561097;4561076;0;0;16214012;18688048;4561297
10762;gov2;bm25;INVIDX_E_BM25;0;100;1;100;5428;5397;0;0;27709;27709;5527
10841;gov2;bm25;INVIDX_E_BM25;0;100;2;100;648959;648945;0;0;3169847;3181897;649160
10861;gov2;bm25;INVIDX_E_BM25;0;100;2;100;790;765;0;0;2560;2567;884
10966;gov2;bm25;INVIDX_E_BM25;0;100;1;100;597;588;0;0;2165;2165;666
10975;gov2;bm25;INVIDX_E_BM25;0;100;3;100;67160;67145;0;0;242195;246846;67327
11008;gov2;bm25;INVIDX_E_BM25;0;100;2;100;5625;5601;0;0;22553;22932;5717
11010;gov2;bm25;INVIDX_E_BM25;0;100;3;100;172977;172961;0;0;713325;715007;173170
11030;gov2;bm25;INVIDX_E_BM25;0;100;6;100;4137071;4137036;0;0;11645549;19650550;4137292
11032;gov2;bm25;INVIDX_E_BM25;0;100;1;100;22747;22725;0;0;104931;104931;22853
