qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
6396;gov2;IDX_D;3;10;4;10;108747;90712;34369;50410357;0;0;110331
6427;gov2;IDX_D;3;10;1;10;7325;7238;5997;50410357;0;0;7532
6442;gov2;IDX_D;3;10;1;10;805;504;372;50410357;0;0;881
6546;gov2;IDX_D;3;10;2;10;16666;16338;8516;50410357;0;0;16790
6614;gov2;IDX_D;3;10;2;10;111640;111492;61554;50410357;0;0;112177
6732;gov2;IDX_D;3;10;1;10;21514;21207;16884;50410357;0;0;21965
6759;gov2;IDX_D;3;10;2;4;536;244;108;50410357;0;0;613
6799;gov2;IDX_D;3;10;1;10;7228;6933;6070;50410357;0;0;7412
6841;gov2;IDX_D;3;10;1;2;400;131;50;50410357;0;0;478
6906;gov2;IDX_D;3;10;2;1;6531;6090;3276;50410357;0;0;6618
6939;gov2;IDX_D;3;10;1;10;624;358;242;50410357;0;0;698
6992;gov2;IDX_D;3;10;1;2;581;156;51;50410357;0;0;654
7077;gov2;IDX_D;3;10;3;0;709;193;11;50410357;0;0;784
7156;gov2;IDX_D;3;10;3;0;1307;769;224;50410357;0;0;1382
7227;gov2;IDX_D;3;10;1;10;2551;2503;2312;50410357;0;0;2727
7253;gov2;IDX_D;3;10;2;3;2941;2402;1288;50410357;0;0;3018
7353;gov2;IDX_D;3;10;1;10;961;826;709;50410357;0;0;1041
7463;gov2;IDX_D;3;10;1;1;105;53;26;50410357;0;0;173
7544;gov2;IDX_D;3;10;2;10;1865;1629;970;50410357;0;0;1937
7642;gov2;IDX_D;3;10;3;0;1015;227;54;50410357;0;0;1090
7656;gov2;IDX_D;3;10;2;10;31907;31773;18449;50410357;0;0;32162
7680;gov2;IDX_D;3;10;1;10;901;448;281;50410357;0;0;982
7883;gov2;IDX_D;3;10;1;3;277;132;74;50410357;0;0;348
7925;gov2;IDX_D;3;10;2;0;654;337;133;50410357;0;0;726
7927;gov2;IDX_D;3;10;1;10;561;306;193;50410357;0;0;642
7943;gov2;IDX_D;3;10;1;10;451;317;222;50410357;0;0;531
7959;gov2;IDX_D;3;10;2;9;835;413;181;50410357;0;0;908
7964;gov2;IDX_D;3;10;1;10;983;933;848;50410357;0;0;1064
7986;gov2;IDX_D;3;10;2;2;727;179;43;50410357;0;0;799
8035;gov2;IDX_D;3;10;2;0;300;137;59;50410357;0;0;375
8123;gov2;IDX_D;3;10;2;10;2433;1584;811;50410357;0;0;2506
8137;gov2;IDX_D;3;10;3;10;47995;47317;19604;50410357;0;0;48512
8142;gov2;IDX_D;3;10;2;10;11089;10552;5894;50410357;0;0;11192
8152;gov2;IDX_D;3;10;1;10;486;339;243;50410357;0;0;560
8154;gov2;IDX_D;3;10;1;10;848;415;258;50410357;0;0;920
8201;gov2;IDX_D;3;10;2;1;732;337;147;50410357;0;0;805
8273;gov2;IDX_D;3;10;1;10;649;375;247;50410357;0;0;722
8356;gov2;IDX_D;3;10;2;0;1184;554;241;50410357;0;0;1258
8362;gov2;IDX_D;3;10;1;3;275;130;74;50410357;0;0;346
8455;gov2;IDX_D;3;10;3;0;824;326;107;50410357;0;0;900
8458;gov2;IDX_D;3;10;4;0;1436;861;313;50410357;0;0;1510
8524;gov2;IDX_D;3;10;2;0;409;257;141;50410357;0;0;481
8525;gov2;IDX_D;3;10;1;10;10547;10405;8804;50410357;0;0;10797
8700;gov2;IDX_D;3;10;1;3;276;130;69;50410357;0;0;350
8815;gov2;IDX_D;3;10;2;10;28169;28038;16782;50410357;0;0;28393
9140;gov2;IDX_D;3;10;1;10;482;324;235;50410357;0;0;560
9373;gov2;IDX_D;3;10;1;10;446;300;213;50410357;0;0;530
9407;gov2;IDX_D;3;10;2;10;134678;134531;78462;50410357;0;0;135227
9483;gov2;IDX_D;3;10;2;5;1440;326;150;50410357;0;0;1530
9513;gov2;IDX_D;3;10;1;10;604;459;309;50410357;0;0;677
9527;gov2;IDX_D;3;10;1;10;6996;6952;5721;50410357;0;0;7177
9631;gov2;IDX_D;3;10;1;10;349;291;236;50410357;0;0;425
9690;gov2;IDX_D;3;10;2;1;492;339;177;50410357;0;0;563
9698;gov2;IDX_D;3;10;3;0;1245;580;183;50410357;0;0;1320
9756;gov2;IDX_D;3;10;1;10;544;391;291;50410357;0;0;618
9789;gov2;IDX_D;3;10;2;0;647;175;33;50410357;0;0;720
9862;gov2;IDX_D;3;10;1;10;7739;7327;5795;50410357;0;0;7900
