qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
46547;gov2;IDX_D;2;1000;3;1000;1457914;1448658;591117;50410357;0;0;1577121
47084;gov2;IDX_D;2;1000;1;1;13910;1783;26;50410357;0;0;17737
47292;gov2;IDX_D;2;1000;3;1000;344249;340588;121712;50410357;0;0;346076
47371;gov2;IDX_D;2;1000;3;1000;1239521;1233408;443783;50410357;0;0;1241007
47831;gov2;IDX_D;2;1000;5;1000;2311089;2291764;578527;50410357;0;0;2463521
47859;gov2;IDX_D;2;1000;4;1000;1575013;1537030;461409;50410357;0;0;1577224
47892;gov2;IDX_D;2;1000;2;1000;168302;161951;75232;50410357;0;0;169474
47911;gov2;IDX_D;2;1000;4;1000;3105656;3101688;857108;50410357;0;0;3272207
47938;gov2;IDX_D;2;1000;1;3;10330;4840;70;50410357;0;0;12399
48131;gov2;IDX_D;2;1000;3;1000;4315430;4306103;975936;50410357;0;0;4418294
48193;gov2;IDX_D;2;1000;2;1000;85771;77856;22031;50410357;0;0;86614
48291;gov2;IDX_D;2;1000;3;1000;5245945;5245498;1990041;50410357;0;0;5638162
48339;gov2;IDX_D;2;1000;6;1000;3001248;2969629;762628;50410357;0;0;3119383
48387;gov2;IDX_D;2;1000;4;1000;2353495;2294126;712025;50410357;0;0;2486928
48435;gov2;IDX_D;2;1000;2;1000;104073;93457;20224;50410357;0;0;104903
48531;gov2;IDX_D;2;1000;4;1000;2458769;2455067;623065;50410357;0;0;2594809
48552;gov2;IDX_D;2;1000;2;1000;524366;517316;244684;50410357;0;0;526516
48792;gov2;IDX_D;2;1000;3;1000;2403623;2389502;1007739;50410357;0;0;2598666
48912;gov2;IDX_D;2;1000;2;1000;864197;856712;335004;50410357;0;0;866438
48988;gov2;IDX_D;2;1000;4;1000;3116720;3097791;831506;50410357;0;0;3295831
49014;gov2;IDX_D;2;1000;3;1000;961202;949823;342551;50410357;0;0;963447
49124;gov2;IDX_D;2;1000;3;1000;2433728;2422298;758477;50410357;0;0;2570340
49141;gov2;IDX_D;2;1000;3;1000;2941861;2930487;723247;50410357;0;0;3031292
49144;gov2;IDX_D;2;1000;1;4;41378;33980;90;50410357;0;0;41963
49219;gov2;IDX_D;2;1000;1;1;364;112;26;50410357;0;0;858
49284;gov2;IDX_D;2;1000;2;1000;121579;120274;67695;50410357;0;0;122743
49404;gov2;IDX_D;2;1000;2;1000;51184;49040;29184;50410357;0;0;52281
49409;gov2;IDX_D;2;1000;2;1000;27077;25797;15351;50410357;0;0;27791
49479;gov2;IDX_D;2;1000;1;70;1909;1808;1148;50410357;0;0;2397
49617;gov2;IDX_D;2;1000;2;1000;24985;24312;14957;50410357;0;0;25604
49646;gov2;IDX_D;2;1000;3;1000;428131;426634;189470;50410357;0;0;430232
49650;gov2;IDX_D;2;1000;4;1000;2499468;2487518;696788;50410357;0;0;2629668
49679;gov2;IDX_D;2;1000;3;1000;4750192;4741877;1228320;50410357;0;0;4985823
49692;gov2;IDX_D;2;1000;4;1000;3388102;3368661;1049204;50410357;0;0;3612128
49703;gov2;IDX_D;2;1000;3;1000;650552;644735;213515;50410357;0;0;652736
49817;gov2;IDX_D;2;1000;3;1000;4575574;4562561;1613772;50410357;0;0;4888729
49829;gov2;IDX_D;2;1000;1;667;125772;121683;9508;50410357;0;0;126447
49884;gov2;IDX_D;2;1000;2;1000;509298;509032;211621;50410357;0;0;511141
49932;gov2;IDX_D;2;1000;1;163;15746;8104;2614;50410357;0;0;16314
49935;gov2;IDX_D;2;1000;2;1000;76156;75925;40318;50410357;0;0;77266
49962;gov2;IDX_D;2;1000;3;1000;80470;79225;44886;50410357;0;0;81608
50572;gov2;IDX_D;2;1000;6;1000;7494103;7490999;1935756;50410357;0;0;7915643
50597;gov2;IDX_D;2;1000;5;1000;3143784;3087425;978031;50410357;0;0;3317626
50675;gov2;IDX_D;2;1000;3;1000;386597;376415;140971;50410357;0;0;388503
50743;gov2;IDX_D;2;1000;5;1000;6933107;6925893;1943259;50410357;0;0;7348022
50926;gov2;IDX_D;2;1000;1;397;216107;186366;5686;50410357;0;0;216728
51075;gov2;IDX_D;2;1000;1;1;351;105;26;50410357;0;0;857
51191;gov2;IDX_D;2;1000;1;1000;27580;27191;16500;50410357;0;0;28301
51208;gov2;IDX_D;2;1000;2;1000;1206782;1205932;529676;50410357;0;0;1209097
51346;gov2;IDX_D;2;1000;5;1000;1412227;1380896;405117;50410357;0;0;1419524
51436;gov2;IDX_D;2;1000;3;1000;2588878;2554564;949198;50410357;0;0;2778232
51563;gov2;IDX_D;2;1000;1;14;54267;44813;248;50410357;0;0;56467
51787;gov2;IDX_D;2;1000;2;1000;41400;35391;17186;50410357;0;0;42136
51801;gov2;IDX_D;2;1000;3;1000;180418;179960;92158;50410357;0;0;181768
51830;gov2;IDX_D;2;1000;1;27;3409;1080;502;50410357;0;0;3926
51948;gov2;IDX_D;2;1000;2;1000;148183;147009;80723;50410357;0;0;149437
51998;gov2;IDX_D;2;1000;3;1000;199584;197536;84808;50410357;0;0;200898
51999;gov2;IDX_D;2;1000;5;1000;5378489;5375209;1394712;50410357;0;0;5609427
52028;gov2;IDX_D;2;1000;4;1000;3909255;3861456;1254021;50410357;0;0;4131900
52059;gov2;IDX_D;2;1000;1;108;85390;76624;1895;50410357;0;0;86078
52129;gov2;IDX_D;2;1000;2;1000;17213575;17212406;6240296;50410357;0;0;18855701
52180;gov2;IDX_D;2;1000;5;1000;2524932;2494929;589197;50410357;0;0;2641365
52283;gov2;IDX_D;2;1000;4;1000;617301;556203;189871;50410357;0;0;619524
52453;gov2;IDX_D;2;1000;4;1000;2404156;2389827;775109;50410357;0;0;2552098
52493;gov2;IDX_D;2;1000;1;11;64355;55850;236;50410357;0;0;64971
52605;gov2;IDX_D;2;1000;2;394;9995;9725;5960;50410357;0;0;10498
52681;gov2;IDX_D;2;1000;2;1000;325361;325125;159024;50410357;0;0;327436
52731;gov2;IDX_D;2;1000;5;1000;4204084;4194227;1209736;50410357;0;0;4414360
52772;gov2;IDX_D;2;1000;2;1000;233063;193689;61796;50410357;0;0;234196
52883;gov2;IDX_D;2;1000;1;7;1684;359;149;50410357;0;0;2200
52948;gov2;IDX_D;2;1000;7;1000;4482382;4479657;1191291;50410357;0;0;4740526
53172;gov2;IDX_D;2;1000;3;1000;1512122;1470353;404004;50410357;0;0;1516126
53217;gov2;IDX_D;2;1000;3;1000;1702710;1689373;583812;50410357;0;0;1706651
53273;gov2;IDX_D;2;1000;5;1000;5555213;5525287;1495129;50410357;0;0;5881670
53382;gov2;IDX_D;2;1000;2;1000;230659;194724;36014;50410357;0;0;231787
53385;gov2;IDX_D;2;1000;2;1000;46796;45802;27229;50410357;0;0;47802
53411;gov2;IDX_D;2;1000;4;1000;409443;408218;160251;50410357;0;0;411442
53619;gov2;IDX_D;2;1000;1;1;7982;1443;26;50410357;0;0;9645
53667;gov2;IDX_D;2;1000;2;1000;139720;138756;67172;50410357;0;0;140773
53709;gov2;IDX_D;2;1000;1;1;1462;156;26;50410357;0;0;1863
53849;gov2;IDX_D;2;1000;2;1000;1022254;1021822;484965;50410357;0;0;1024444
53872;gov2;IDX_D;2;1000;2;1000;225394;216866;90002;50410357;0;0;226658
53939;gov2;IDX_D;2;1000;2;1000;1165513;1163231;458357;50410357;0;0;1167678
53984;gov2;IDX_D;2;1000;3;1000;1154516;1140403;414319;50410357;0;0;1156730
54025;gov2;IDX_D;2;1000;1;2;30634;23107;51;50410357;0;0;31204
54411;gov2;IDX_D;2;1000;1;5;943;311;100;50410357;0;0;1409
54540;gov2;IDX_D;2;1000;2;1000;1506091;1505342;753440;50410357;0;0;1672621
54587;gov2;IDX_D;2;1000;3;1000;2569370;2559267;907590;50410357;0;0;2749485
54590;gov2;IDX_D;2;1000;3;1000;1329763;1319688;461159;50410357;0;0;1332027
54620;gov2;IDX_D;2;1000;3;1000;1608720;1596800;553390;50410357;0;0;1610298
54724;gov2;IDX_D;2;1000;1;1;13319;2010;26;50410357;0;0;15367
54783;gov2;IDX_D;2;1000;2;1000;113565;106922;52953;50410357;0;0;114626
54940;gov2;IDX_D;2;1000;4;1000;8623009;8621393;2031980;50410357;0;0;9013954
54956;gov2;IDX_D;2;1000;2;1000;1397286;1390657;478475;50410357;0;0;1399512
55167;gov2;IDX_D;2;1000;4;1000;1923105;1905101;587267;50410357;0;0;2045847
55339;gov2;IDX_D;2;1000;2;1000;865711;859113;328152;50410357;0;0;867951
55387;gov2;IDX_D;2;1000;1;376;30895;22476;5063;50410357;0;0;31467
55407;gov2;IDX_D;2;1000;2;1000;24932;24419;14524;50410357;0;0;25553
55433;gov2;IDX_D;2;1000;3;1000;2384235;2383754;811270;50410357;0;0;2528191
55444;gov2;IDX_D;2;1000;2;1000;1477212;1467488;566054;50410357;0;0;1479081
55454;gov2;IDX_D;2;1000;3;1000;3363809;3353419;1194204;50410357;0;0;3593182
55654;gov2;IDX_D;2;1000;3;1000;1130088;1122890;337289;50410357;0;0;1132184
55681;gov2;IDX_D;2;1000;3;1000;2718211;2705801;785945;50410357;0;0;2878089
55741;gov2;IDX_D;2;1000;3;1000;146661;139148;36159;50410357;0;0;147734
55909;gov2;IDX_D;2;1000;2;1000;607727;607305;260027;50410357;0;0;609203
56013;gov2;IDX_D;2;1000;2;1000;708419;704448;324546;50410357;0;0;709772
56025;gov2;IDX_D;2;1000;2;1000;1606830;1601592;779742;50410357;0;0;1767822
56161;gov2;IDX_D;2;1000;4;1000;7869204;7853278;2005033;50410357;0;0;8410373
56185;gov2;IDX_D;2;1000;2;1000;2206376;2201480;775412;50410357;0;0;2346148
56348;gov2;IDX_D;2;1000;2;1000;716479;706183;314762;50410357;0;0;718634
56510;gov2;IDX_D;2;1000;3;1000;1912483;1899838;645028;50410357;0;0;2018678
56882;gov2;IDX_D;2;1000;3;1000;186822;177763;76359;50410357;0;0;188003
56919;gov2;IDX_D;2;1000;2;1000;690363;688689;329680;50410357;0;0;692487
56926;gov2;IDX_D;2;1000;3;1000;1048709;1034713;377202;50410357;0;0;1051379
57007;gov2;IDX_D;2;1000;3;1000;3199402;3189752;921773;50410357;0;0;3374658
57070;gov2;IDX_D;2;1000;1;1000;109985;103282;15525;50410357;0;0;110667
57199;gov2;IDX_D;2;1000;4;1000;3026597;3025732;879763;50410357;0;0;3192953
57602;gov2;IDX_D;2;1000;2;1000;128449;114077;28624;50410357;0;0;129412
57677;gov2;IDX_D;2;1000;4;1000;621295;620399;246185;50410357;0;0;623420
57727;gov2;IDX_D;2;1000;2;1000;629990;622112;297621;50410357;0;0;632154
57765;gov2;IDX_D;2;1000;1;1000;44812;36545;13766;50410357;0;0;45402
57777;gov2;IDX_D;2;1000;2;1000;28390;27584;17294;50410357;0;0;29062
57899;gov2;IDX_D;2;1000;1;95;2374;1967;1251;50410357;0;0;2833
57916;gov2;IDX_D;2;1000;1;312;8345;7766;4916;50410357;0;0;8796
58074;gov2;IDX_D;2;1000;3;1000;2536698;2535775;986063;50410357;0;0;2720767
